source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban,Religion,Age- | group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Never married | Persons | 5,Males | 6,Females | 7,Currently Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Separated | Persons | 14,Males | 15,Females | 16,Divorced | Persons | 17,Males | 18,Females | 19,Unspecified | Persons | 20,Males | 21,Females | 22
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,All ages,12541302,6640662,5900640,6868487,3803063,3065424,5233255,2702439,2530816,403425,119775,283650,18066,8397,9669,18069,6988,11081,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,0-9,2826857,1510319,1316538,2826857,1510319,1316538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,10-14,1413853,744855,668998,1390103,735299,654804,22412,8938,13474,752,338,414,474,238,236,112,42,70,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,15-19,1237462,640362,597100,1164768,619890,544878,70857,19740,51117,1049,394,655,562,258,304,226,80,146,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,20-24,1160913,603578,557335,824471,489767,334704,331703,112025,219678,2537,848,1689,1210,648,562,992,290,702,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,25-29,1086122,584559,501563,409021,272833,136188,668659,308479,360180,4539,1524,3015,2051,1130,921,1852,593,1259,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,30-34,926903,495746,431157,135058,93977,41081,779604,397604,382000,7752,2472,5280,1962,813,1149,2527,880,1647,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,35-39,837945,441265,396680,41338,29243,12095,779603,406605,372998,12143,3518,8625,2026,841,1185,2835,1058,1777,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,40-44,714085,387739,326346,19301,13479,5822,671494,367317,304177,18753,5247,13506,1932,756,1176,2605,940,1665,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,45-49,590790,311560,279230,9752,6976,2776,553342,296449,256893,24042,6639,17403,1678,666,1012,1976,830,1146,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,50-54,468566,255599,212967,7254,5191,2063,423212,239528,183684,35043,9590,25453,1468,621,847,1589,669,920,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,55-59,340031,172753,167278,4627,3250,1377,301197,159684,141513,32304,8988,23316,966,400,566,937,431,506,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,60-64,322726,173427,149299,6812,4458,2354,255615,152098,103517,58254,15928,42326,1139,527,612,906,416,490,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,65-69,203965,102743,101222,5213,3163,2050,151448,85959,65489,46034,12998,33036,776,395,381,494,228,266,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,70-74,184019,97472,86547,4312,2577,1735,112876,74906,37970,65415,19203,46212,862,484,378,554,302,252,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,75-79,85076,43094,41982,1842,1109,733,49903,31314,18589,32765,10348,22417,370,224,146,196,99,97,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,80+,126870,65844,61026,7245,4241,3004,57125,39482,17643,61678,21617,40061,568,381,187,254,123,131,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,Age not stated,15119,9747,5372,10513,7291,3222,4205,2311,1894,365,123,242,22,15,7,14,7,7,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,Less than 18,4996362,2647174,2349188,4944123,2628225,2315898,49827,17892,31935,1423,584,839,774,390,384,215,83,132,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,All religious communities,Less than 21,5772600,3044597,2728003,5617998,2998189,2619809,150358,44687,105671,2476,955,1521,1265,597,668,503,169,334,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,All ages,3566674,1987021,1579653,1662614,984151,678463,1759903,968176,791727,134371,29645,104726,6350,3463,2887,3436,1586,1850,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,0-9,618936,338003,280933,618936,338003,280933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,10-14,336090,182086,154004,330007,179447,150560,5793,2512,3281,182,85,97,75,27,48,33,15,18,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,15-19,321129,172742,148387,302401,168043,134358,18293,4536,13757,277,92,185,117,57,60,41,14,27,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,20-24,348796,195604,153192,236923,159486,77437,110435,35506,74929,711,174,537,537,378,159,190,60,130,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,25-29,378998,231569,147429,120671,97209,23462,255533,133141,122392,1554,415,1139,933,682,251,307,122,185,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,30-34,313095,184697,128398,30098,24944,5154,279170,158545,120625,2570,562,2008,786,439,347,471,207,264,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,35-39,271507,154148,117359,7807,6071,1736,258196,146612,111584,4203,817,3386,767,390,377,534,258,276,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,40-44,229460,132139,97321,3649,2688,961,218493,127853,90640,6127,1049,5078,671,309,362,520,240,280,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,45-49,195311,107522,87789,2080,1545,535,183933,103944,79989,8254,1556,6698,640,282,358,404,195,209,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,50-54,150760,82480,68280,1466,1030,436,137564,78979,58585,10936,2108,8828,503,227,276,291,136,155,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,55-59,109314,58109,51205,970,669,301,96800,54851,41949,11063,2384,8679,300,118,182,181,87,94,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,60-64,95783,49254,46529,1357,905,452,76178,44667,31511,17755,3443,14312,327,154,173,166,85,81,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,65-69,64408,32756,31652,1288,823,465,47205,28437,18768,15575,3321,12254,246,124,122,94,51,43,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,70-74,55357,27290,28067,834,525,309,34313,22361,11952,19906,4228,15678,202,107,95,102,69,33,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,75-79,30465,15200,15265,420,280,140,17656,11766,5890,12238,3063,9175,101,66,35,50,25,25,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,80+,43654,21056,22598,1524,955,569,19016,13657,5359,22926,6324,16602,137,98,39,51,22,29,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,Age not stated,3611,2366,1245,2183,1528,655,1325,809,516,94,24,70,8,5,3,1,0,1,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,Less than 18,1148101,624075,524026,1135071,619136,515935,12490,4724,7766,354,137,217,136,57,79,50,21,29,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Hindu,Less than 21,1347995,730622,617373,1308304,720073,588231,38730,10181,28549,614,212,402,250,119,131,97,37,60,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,All ages,8567485,4428774,4138711,5015823,2707671,2308152,3273608,1625749,1647859,253915,85940,167975,10347,4282,6065,13792,5132,8660,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,0-9,2145271,1137781,1007490,2145271,1137781,1007490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,10-14,1043207,543825,499382,1026249,537196,489053,15947,6154,9793,555,248,307,378,200,178,78,27,51,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,15-19,881127,448848,432279,829010,433614,395396,50776,14678,36098,741,300,441,424,192,232,176,64,112,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,20-24,773509,386794,386715,559066,312544,246522,211325,73151,138174,1750,648,1102,605,234,371,763,217,546,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,25-29,664749,327511,337238,272071,164077,107994,387501,161602,225899,2814,1063,1751,906,319,587,1457,450,1007,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,30-34,578134,290253,287881,99160,64993,34167,471097,222465,248632,4879,1847,3032,1023,299,724,1975,649,1326,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,35-39,535466,270192,265274,31198,21594,9604,493628,244887,248741,7391,2592,4799,1087,370,717,2162,749,1413,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,40-44,457165,240491,216674,14373,9983,4390,427836,225392,202444,11864,4050,7814,1121,396,725,1971,670,1301,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,45-49,371782,191254,180528,6782,4884,1898,347789,180535,167254,14833,4912,9921,907,324,583,1471,599,872,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,50-54,298831,163132,135699,5128,3752,1376,268761,151283,117478,22865,7241,15624,863,350,513,1214,506,708,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,55-59,216247,107112,109135,3155,2273,882,191786,97933,93853,20025,6325,13700,586,256,330,695,325,370,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,60-64,214448,117629,96819,4928,3228,1700,169274,101661,67613,38810,12085,26725,737,341,396,699,314,385,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,65-69,130522,65305,65217,3470,2077,1393,97395,53593,43802,28823,9219,19604,469,248,221,365,168,197,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,70-74,121017,66140,54877,3124,1819,1305,73469,49417,24052,43384,14333,29051,611,348,263,429,223,206,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,75-79,50096,25533,24563,1205,711,494,29525,17877,11648,18994,6738,12256,237,139,98,135,68,67,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,80+,77056,41517,35539,5221,2975,2246,35285,23925,11360,35975,14260,21715,384,259,125,191,98,93,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,Age not stated,8858,5457,3401,6412,4170,2242,2214,1196,1018,212,79,133,9,7,2,11,5,6,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,Less than 18,3730066,1958406,1771660,3692365,1944945,1747420,35905,12644,23261,1033,440,593,605,316,289,158,61,97,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Muslim,Less than 21,4284059,2237524,2046535,4173090,2202836,1970254,107816,33374,74442,1794,729,1065,967,457,510,392,128,264,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,All ages,35631,21523,14108,17102,10232,6870,17126,10869,6257,1273,352,921,76,45,31,54,25,29,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,0-9,6093,3192,2901,6093,3192,2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,10-14,3069,1654,1415,3004,1624,1380,60,26,34,2,2,0,3,2,1,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,15-19,2999,1586,1413,2783,1514,1269,209,69,140,4,0,4,3,3,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,20-24,3794,2321,1473,2554,1796,758,1206,505,701,14,6,8,12,9,3,8,5,3,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,25-29,4773,3404,1369,1798,1526,272,2938,1861,1077,20,9,11,14,7,7,3,1,2,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,30-34,3636,2557,1079,441,341,100,3144,2198,946,38,9,29,9,7,2,4,2,2,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,35-39,2940,1863,1077,142,85,57,2713,1751,962,70,19,51,9,5,4,6,3,3,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,40-44,2499,1663,836,71,42,29,2309,1587,722,106,32,74,5,1,4,8,1,7,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,45-49,1837,1140,697,54,37,17,1639,1068,571,130,27,103,8,4,4,6,4,2,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,50-54,1210,672,538,33,18,15,1033,621,412,134,28,106,5,4,1,5,1,4,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,55-59,855,436,419,19,5,14,686,403,283,140,24,116,4,1,3,6,3,3,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,60-64,679,377,302,28,8,20,502,329,173,145,39,106,1,0,1,3,1,2,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,65-69,387,190,197,22,6,16,252,147,105,110,35,75,0,0,0,3,2,1,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,70-74,378,197,181,13,9,4,203,131,72,159,55,104,3,2,1,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,75-79,176,90,86,7,2,5,93,63,30,75,24,51,0,0,0,1,1,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,80+,268,150,118,23,16,7,119,91,28,125,42,83,0,0,0,1,1,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,Age not stated,38,31,7,17,11,6,20,19,1,1,1,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,Less than 18,10972,5791,5181,10828,5728,5100,135,57,78,4,2,2,5,4,1,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Christian,Less than 21,12944,6843,6101,12467,6683,5784,457,150,307,11,4,7,7,5,2,2,1,1,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,All ages,234848,132897,101951,98670,60584,38086,126208,69637,56571,9197,2248,6949,555,339,216,218,89,129,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,0-9,31459,18057,13402,31459,18057,13402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,10-14,18007,10206,7801,17600,10039,7561,392,165,227,6,0,6,9,2,7,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,15-19,19521,10773,8748,18514,10508,8006,977,262,715,17,1,16,10,2,8,3,0,3,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,20-24,22256,12658,9598,16527,10868,5659,5659,1754,3905,38,14,24,26,20,6,6,2,4,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,25-29,25007,15700,9307,9105,7012,2093,15643,8551,7092,102,28,74,129,101,28,28,8,20,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,30-34,21265,12779,8486,3002,2361,641,17963,10318,7645,186,35,151,84,53,31,30,12,18,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,35-39,18630,10314,8316,1040,820,220,17108,9358,7750,350,56,294,82,54,28,50,26,24,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,40-44,17271,9566,7705,449,318,131,16246,9132,7114,488,76,412,57,27,30,31,13,18,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,45-49,15401,8342,7059,259,165,94,14469,8053,6416,609,91,518,42,23,19,22,10,12,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,50-54,12266,6576,5690,146,80,66,11308,6352,4956,751,117,634,38,19,19,23,8,15,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,55-59,9085,4811,4274,83,42,41,8305,4640,3665,668,119,549,19,6,13,10,4,6,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,60-64,7669,4035,3634,97,59,38,6551,3781,2770,999,187,812,19,7,12,3,1,2,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,65-69,5671,2961,2710,95,55,40,4588,2671,1917,970,226,744,11,7,4,7,2,5,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,70-74,4605,2475,2130,41,26,15,3308,2110,1198,1240,329,911,11,7,4,5,3,2,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,75-79,2728,1444,1284,23,13,10,1787,1127,660,911,299,612,7,5,2,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,80+,3791,2050,1741,110,70,40,1814,1306,508,1857,669,1188,10,5,5,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,Age not stated,216,150,66,120,91,29,90,57,33,5,1,4,1,1,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,Less than 18,60984,34652,26332,60140,34346,25794,809,302,507,19,1,18,14,3,11,2,0,2,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Sikh,Less than 21,73525,41412,32113,71368,40839,30529,2096,563,1533,35,5,30,21,4,17,5,1,4,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,All ages,112584,56442,56142,59268,31003,28265,48001,23614,24387,4065,1430,2635,704,251,453,546,144,402,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,0-9,18232,9313,8919,18232,9313,8919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,10-14,10982,5680,5302,10816,5612,5204,154,60,94,5,3,2,7,5,2,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,15-19,10798,5380,5418,10338,5214,5124,440,159,281,6,1,5,8,4,4,6,2,4,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,20-24,10690,5156,5534,8225,4285,3940,2397,854,1543,17,5,12,28,6,22,23,6,17,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,25-29,10604,5109,5495,4684,2479,2205,5763,2592,3171,37,7,30,65,19,46,55,12,43,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,30-34,9182,4520,4662,2152,1184,968,6864,3299,3565,63,13,50,58,14,44,45,10,35,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,35-39,8194,4040,4154,1089,626,463,6837,3343,3494,110,28,82,78,22,56,80,21,59,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,40-44,6768,3378,3390,722,420,302,5751,2886,2865,145,35,110,76,22,54,74,15,59,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,45-49,5711,2909,2802,552,323,229,4820,2486,2334,193,49,144,76,31,45,70,20,50,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,50-54,4979,2497,2482,467,300,167,4080,2072,2008,321,88,233,56,20,36,55,17,38,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,55-59,4132,2103,2029,387,251,136,3272,1695,1577,376,131,245,54,16,38,43,10,33,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,60-64,3719,1922,1797,384,244,140,2771,1487,1284,479,155,324,54,24,30,31,12,19,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,65-69,2697,1400,1297,326,195,131,1812,1008,804,484,176,308,50,16,34,25,5,20,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,70-74,2398,1227,1171,287,190,97,1424,775,649,635,236,399,34,19,15,18,7,11,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,75-79,1481,764,717,183,100,83,770,433,337,493,212,281,25,14,11,10,5,5,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,80+,1875,959,916,332,206,126,800,443,357,698,289,409,34,19,15,11,2,9,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,Age not stated,142,85,57,92,61,31,46,22,24,3,2,1,1,0,1,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,Less than 18,35696,18206,17490,35328,18067,17261,343,126,217,9,4,5,12,8,4,4,1,3,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Buddhist,Less than 21,42374,21537,20837,41437,21201,20236,899,320,579,15,5,10,17,9,8,6,2,4,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,All ages,2490,1310,1180,987,568,419,1384,717,667,106,18,88,7,4,3,6,3,3,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,0-9,353,197,156,353,197,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,10-14,205,102,103,194,97,97,9,4,5,0,0,0,1,1,0,1,0,1,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,15-19,194,101,93,184,99,85,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,20-24,203,112,91,144,90,54,58,21,37,0,0,0,1,1,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,25-29,241,141,100,71,61,10,167,79,88,1,0,1,1,1,0,1,0,1,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,30-34,211,107,104,17,12,5,193,95,98,0,0,0,0,0,0,1,0,1,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,35-39,180,102,78,6,2,4,170,100,70,3,0,3,1,0,1,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,40-44,170,85,85,1,1,0,163,83,80,5,0,5,0,0,0,1,1,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,45-49,178,89,89,1,0,1,174,88,86,3,1,2,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,50-54,113,58,55,0,0,0,106,57,49,4,0,4,2,0,2,1,1,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,55-59,121,62,59,2,0,2,110,59,51,7,1,6,1,1,0,1,1,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,60-64,104,46,58,0,0,0,91,45,46,13,1,12,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,65-69,78,36,42,1,0,1,54,31,23,23,5,18,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,70-74,57,30,27,1,1,0,42,26,16,14,3,11,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,75-79,43,19,24,1,0,1,25,17,8,17,2,15,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,80+,34,19,15,6,4,2,12,10,2,16,5,11,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,Age not stated,5,4,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_Appendix_All_India,C1103A,01,000,State - JAMMU & KASHMIR,Total,Jain,Less than 18,673,363,310,656,356,300,15,6,9,0,0,0,1,1,0,1,0,1,0,0,0
